MOD:   CHAIN   MOVE      ACC      LPPD           LPPD0             LHNORM         LHNORM0  N  HPARAM
MOD:  1   1740000    4                 0            611.05731201            609.04229736           3604.00244141           3604.00244141     1        2.73159
MOD:  1   1750000    2                 1            628.93353271            628.93353271           3593.35595703           3593.35595703     1        2.72352
MOD:  1   1760000    4                 1            636.88873291            636.88873291           3590.43481445           3590.43481445     1        2.72130
MOD:  1   1770000    1                 1            559.91656494            559.91656494           3627.23486328           3627.23486328     1        2.74919
MOD:  1   1780000    4                 1            596.92083740            596.92083740           3602.56127930           3602.56127930     2        2.73049
MOD:  1   1790000    4                 0            567.23681641            562.94842529           3626.64501953           3626.64501953     1        2.74875
MOD:  1   1800000    1                 0            675.14111328            664.19189453           3572.81005859           3577.49438477     1        2.71149
MOD:  1   1810000    4                -1            598.59979248            598.59979248           3609.28881836           3609.28881836     1        2.73559
MOD:  1   1820000    1                 1            583.92584229            583.92584229           3616.15283203           3616.15283203     1        2.74079
MOD:  1   1830000    3                 1            602.59143066            602.59143066           3605.33740234           3605.33740234     1        2.73260
MOD:  1   1840000    4                -1            571.57641602            571.57641602           3620.43188477           3620.43188477     1        2.74404
MOD:  1   1850000    4                -1            586.30902100            586.30902100           3615.15161133           3615.15161133     1        2.74004
MOD:  1   1860000    1                 0            846.64501953            598.06750488           3511.00659180           3610.58740234     1        2.73658
MOD:  1   1870000    4                 1            572.59802246            572.59802246           3620.87695312           3620.87695312     1        2.74438
MOD:  1   1880000    1                 0            661.02130127            547.11291504           3578.84228516           3633.02832031     1        2.75359
MOD:  1   1890000    1                 0            417.72595215            638.78991699           3713.22729492           3591.53662109     1        2.72214
MOD:  1   1900000    5                 0        1258077.75000000            605.12579346           3605.82177734           3605.82177734     1        2.73296
MOD:  1   1910000    4                -1            583.13671875            583.13671875           3614.71728516           3614.71728516     1        2.73971
MOD:  1   1920000    5                 0          42421.69140625            632.13952637           3591.48022461           3591.48022461     1        2.72209
MOD:  1   1930000    1                 1            598.67456055            598.67456055           3608.13720703           3608.13720703     1        2.73472
MOD:  1   1940000    3                 1            566.83245850            566.83245850           3622.65234375           3622.65234375     1        2.74572
MOD:  1   1950000    5                 0        1932451.75000000            544.74487305           3634.44311523           3634.44311523     1        2.75466
MOD:  1   1960000    4                -1            537.13873291            537.13873291           3639.35864258           3639.35864258     1        2.75838
MOD:  1   1970000    2                 1            534.71887207            534.71887207           3639.79272461           3639.79272461     1        2.75871
MOD:  1   1980000    5                 0        1891327.75000000            602.15942383           3606.97314453           3606.97314453     1        2.73384
MOD:  1   1990000    4                 0            563.41357422            562.55572510           3624.62451172           3624.62451172     1        2.74722
MOD:  1   2000000    2                 0            626.16625977            616.52868652           3590.37792969           3590.37792969     2        2.72126
MOD:  1   2010000    5                 0         914946.18750000            521.31219482           3646.58984375           3646.58984375     1        2.76386
MOD:  1   2020000    4                 1            512.09985352            512.09985352           3651.75708008           3651.75708008     1        2.76778
MOD:  1   2030000    1                 0            779.47210693            620.98425293           3532.15991211           3597.28466797     1        2.72649
MOD:  1   2040000    2                 1            531.61810303            531.61810303           3643.13110352           3643.13110352     1        2.76124
MOD:  1   2050000    3                 0          36953.02734375            601.44372559           3606.79638672           3606.79638672     1        2.73370
MOD:  1   2060000    1                 0            405.96218872            602.88342285           3718.71655273           3605.41552734     1        2.73266
MOD:  1   2070000    3                 1            569.52447510            569.52447510           3621.66748047           3621.66748047     1        2.74497
MOD:  1   2080000    5                 1            538.43408203            538.43408203           3638.40942383           3638.40942383     1        2.75766
MOD:  1   2090000    4                -1            551.98852539            551.98852539           3631.28344727           3631.28344727     1        2.75226
MOD:  1   2100000    4                 0            604.42706299            595.91503906           3609.97949219           3609.97949219     1        2.73612
MOD:  1   2110000    1                 0            704.38232422            557.74627686           3562.64624023           3629.52026367     1        2.75093
MOD:  1   2120000    5                 0           7669.98291016            588.32147217           3613.83154297           3613.83154297     1        2.73904
MOD:  1   2130000    5                 0         241273.43750000            556.73632812           3628.59472656           3628.59472656     1        2.75022
MOD:  1   2140000    4                 1            499.41537476            499.41537476           3659.81494141           3659.81494141     1        2.77389
